BARCAŚ	(.|#|)bartsaS(.|#|)
ABTY	(.|#|)Qabt1(.|#|)
ABY	(.|#|)ab1(.|#|)
ABY	(.|#|)Qab1(.|#|)
ABŚE	(.|#|)abSE(.|#|)
ABŚE	(.|#|)QabSE(.|#|)
ACALEJA	(.|#|)atsaleja(.|#|)
ACALEJA	(.|#|)Qatsaleja(.|#|)
ACALEJU	(.|#|)atsaleju(.|#|)
ACALEJU	(.|#|)Qatsaleju(.|#|)
ACCESSOIRE	(.|#|)atsEsOirE(.|#|)
ACCESSOIRE	(.|#|)QatsEsOirE(.|#|)
ACETATŽYŹEJU	(.|#|)atsEtatZ1Zeju(.|#|)
ACETATŽYŹEJU	(.|#|)QatsEtatZ1Zeju(.|#|)
ACETATŽYŹIM	(.|#|)atsEtatZ1Zim(.|#|)
ACETATŽYŹIM	(.|#|)QatsEtatZ1Zim(.|#|)
ACETATŽYŹOJU	(.|#|)atsEtatZ1ZOju(.|#|)
ACETATŽYŹOJU	(.|#|)QatsEtatZ1ZOju(.|#|)
ACETATŽYŹOMA	(.|#|)atsEtatZ1ZOma(.|#|)
ACETATŽYŹOMA	(.|#|)QatsEtatZ1ZOma(.|#|)
ACH	(.|#|)ax(.|#|)
ACH	(.|#|)Qax(.|#|)
ACORY	(.|#|)atsOr1(.|#|)
ACORY	(.|#|)QatsOr1(.|#|)
ACRYLBARWA	(.|#|)atsr1lbarwa(.|#|)
ACRYLBARWA	(.|#|)Qatsr1lbarwa(.|#|)
ACRYLNITKA	(.|#|)atsr1lnitka(.|#|)
ACRYLNITKA	(.|#|)Qatsr1lnitka(.|#|)
ACTIONPOŁNY	(.|#|)atstiOnpOun1(.|#|)
ACTIONPOŁNY	(.|#|)atstiOnpoun1(.|#|)
ACTIONPOŁNY	(.|#|)QatstiOnpOun1(.|#|)
ACTIONPOŁNY	(.|#|)QatstiOnpoun1(.|#|)
ACUBIJACH	(.|#|)atsubijax(.|#|)
ACUBIJACH	(.|#|)Qatsubijax(.|#|)
ACUR	(.|#|)atsur(.|#|)
ACUR	(.|#|)Qatsur(.|#|)
ACURMÓDRY	(.|#|)atsurmUdr1(.|#|)
ACURMÓDRY	(.|#|)QatsurmUdr1(.|#|)
ACUROBARWNEMU	(.|#|)atsurObarwnEmu(.|#|)
ACUROBARWNEMU	(.|#|)QatsurObarwnEmu(.|#|)
ACUROBARWNY	(.|#|)atsurObarwn1(.|#|)
ACUROBARWNY	(.|#|)QatsurObarwn1(.|#|)
AD	(.|#|)at(.|#|)
AD	(.|#|)Qat(.|#|)
ADAGIO	(.|#|)adagiO(.|#|)
ADAGIO	(.|#|)QadagiO(.|#|)
ADAPCIJA	(.|#|)adaptsija(.|#|)
ADAPCIJA	(.|#|)Qadaptsija(.|#|)
ADAPTER	(.|#|)adaptEr(.|#|)
ADAPTER	(.|#|)QadaptEr(.|#|)
ADAPTĚROWAŚ	(.|#|)adaptjirOwaS(.|#|)
ADAPTĚROWAŚ	(.|#|)adaptjirowaS(.|#|)
ADAPTĚROWAŚ	(.|#|)QadaptjirOwaS(.|#|)
ADAPTĚROWAŚ	(.|#|)QadaptjirowaS(.|#|)
ADENAUERACH	(.|#|)adEnauErax(.|#|)
ADENAUERACH	(.|#|)QadEnauErax(.|#|)
ADIPOZITASE	(.|#|)adipOzitasE(.|#|)
ADIPOZITASE	(.|#|)QadipOzitasE(.|#|)
ADJUNKTKA	(.|#|)adjunktka(.|#|)
ADJUNKTKA	(.|#|)Qadjunktka(.|#|)
ADMINISTRACIJA	(.|#|)administratsija(.|#|)
ADMINISTRACIJA	(.|#|)Qadministratsija(.|#|)
ADMINISTRATIWNY	(.|#|)administratiun1(.|#|)
ADMINISTRATIWNY	(.|#|)Qadministratiun1(.|#|)
ADMINISTRATOR	(.|#|)administratOr(.|#|)
ADMINISTRATOR	(.|#|)QadministratOr(.|#|)
ADMINISTRATORJE	(.|#|)administratOr(j|)E(.|#|)
ADMINISTRATORJE	(.|#|)QadministratOr(j|)E(.|#|)
ADMINISTRATORKA	(.|#|)administratOrka(.|#|)
ADMINISTRATORKA	(.|#|)QadministratOrka(.|#|)
ADMIRAL	(.|#|)admiral(.|#|)
ADMIRAL	(.|#|)Qadmiral(.|#|)
ADMIRALSKEM	(.|#|)admiralskEm(.|#|)
ADMIRALSKEM	(.|#|)QadmiralskEm(.|#|)
ADMIRALSTWO	(.|#|)admiralstwO(.|#|)
ADMIRALSTWO	(.|#|)QadmiralstwO(.|#|)
ADOLESCENCA	(.|#|)adOlEstsEntsa(.|#|)
ADOLESCENCA	(.|#|)QadOlEstsEntsa(.|#|)
ADOPCIJOMA	(.|#|)adOptsijOma(.|#|)
ADOPCIJOMA	(.|#|)QadOptsijOma(.|#|)
ADOPTĚRUJUCYMA	(.|#|)adOptjirujuts1ma(.|#|)
ADOPTĚRUJUCYMA	(.|#|)QadOptjirujuts1ma(.|#|)
ADRENALIN	(.|#|)adrEnalin(.|#|)
ADRENALIN	(.|#|)QadrEnalin(.|#|)
ADRENALINOMA	(.|#|)adrEnalinOma(.|#|)
ADRENALINOMA	(.|#|)QadrEnalinOma(.|#|)
ADRESA	(.|#|)adrEsa(.|#|)
ADRESA	(.|#|)QadrEsa(.|#|)
ADRESAT	(.|#|)adrEsat(.|#|)
ADRESAT	(.|#|)QadrEsat(.|#|)
ADRESATKA	(.|#|)adrEsatka(.|#|)
ADRESATKA	(.|#|)QadrEsatka(.|#|)
ADRESNIK	(.|#|)adrEsnik(.|#|)
ADRESNIK	(.|#|)QadrEsnik(.|#|)
ADRESNIKOW	(.|#|)adrEsnikO(.|#|)
ADRESNIKOW	(.|#|)adrEsniko(.|#|)
ADRESNIKOW	(.|#|)QadrEsnikO(.|#|)
ADRESNIKOW	(.|#|)QadrEsniko(.|#|)
ADRESOWE	(.|#|)adrEsOwE(.|#|)
ADRESOWE	(.|#|)adrEsowE(.|#|)
ADRESOWE	(.|#|)QadrEsOwE(.|#|)
ADRESOWE	(.|#|)QadrEsowE(.|#|)
ADRESĚROWANJA	(.|#|)adrEsjirOwanja(.|#|)
ADRESĚROWANJA	(.|#|)adrEsjirowanja(.|#|)
ADRESĚROWANJA	(.|#|)QadrEsjirOwanja(.|#|)
ADRESĚROWANJA	(.|#|)QadrEsjirowanja(.|#|)
ADRETNE	(.|#|)adrEtnE(.|#|)
ADRETNE	(.|#|)QadrEtnE(.|#|)
ADRETNJE	(.|#|)adrEtn(j|)E(.|#|)
ADRETNJE	(.|#|)QadrEtn(j|)E(.|#|)
ADRIA	(.|#|)adria(.|#|)
ADRIA	(.|#|)Qadria(.|#|)
ADRIATISKE	(.|#|)adriatiskE(.|#|)
ADRIATISKE	(.|#|)QadriatiskE(.|#|)
ADRIATISKI	(.|#|)adriatiski(.|#|)
ADRIATISKI	(.|#|)Qadriatiski(.|#|)
ADSORBĚROWAŚ	(.|#|)atsOrbjirOwaS(.|#|)
ADSORBĚROWAŚ	(.|#|)atsOrbjirowaS(.|#|)
ADSORBĚROWAŚ	(.|#|)QatsOrbjirOwaS(.|#|)
ADSORBĚROWAŚ	(.|#|)QatsOrbjirowaS(.|#|)
ADSORPCIJA	(.|#|)atsOrptsija(.|#|)
ADSORPCIJA	(.|#|)QatsOrptsija(.|#|)
ADSTRINGENS	(.|#|)atstringEns(.|#|)
ADSTRINGENS	(.|#|)QatstringEns(.|#|)
ADSTRINGĚRUJUCY	(.|#|)atstringjirujuts1(.|#|)
ADSTRINGĚRUJUCY	(.|#|)Qatstringjirujuts1(.|#|)
ADUR	(.|#|)adur(.|#|)
ADUR	(.|#|)Qadur(.|#|)
ADWENT	(.|#|)adwEnt(.|#|)
ADWENT	(.|#|)QadwEnt(.|#|)
ADWERB	(.|#|)adwErp(.|#|)
ADWERB	(.|#|)QadwErp(.|#|)
ADWERBALNY	(.|#|)adwErbaln1(.|#|)
ADWERBALNY	(.|#|)QadwErbaln1(.|#|)
ADWERBIALIZACIJA	(.|#|)adwErbializatsija(.|#|)
ADWERBIALIZACIJA	(.|#|)QadwErbializatsija(.|#|)
ADWERBIALNE	(.|#|)adwErbialnE(.|#|)
ADWERBIALNE	(.|#|)QadwErbialnE(.|#|)
ADWERBIALNJE	(.|#|)adwErbialn(j|)E(.|#|)
ADWERBIALNJE	(.|#|)QadwErbialn(j|)E(.|#|)
ADWERBIALNY	(.|#|)adwErbialn1(.|#|)
ADWERBIALNY	(.|#|)QadwErbialn1(.|#|)
ADWERBIELNY	(.|#|)adwErbiEln1(.|#|)
ADWERBIELNY	(.|#|)QadwErbiEln1(.|#|)
ADWERSATIWNY	(.|#|)adwErsatiun1(.|#|)
ADWERSATIWNY	(.|#|)QadwErsatiun1(.|#|)
ADWOKATKA	(.|#|)adwOkatka(.|#|)
ADWOKATKA	(.|#|)QadwOkatka(.|#|)
ADWOKAŚIK	(.|#|)adwOkaSik(.|#|)
ADWOKAŚIK	(.|#|)QadwOkaSik(.|#|)
ADĚROWANEGO	(.|#|)adjirOwanEgO(.|#|)
ADĚROWANEGO	(.|#|)adjirowanEgO(.|#|)
ADĚROWANEGO	(.|#|)QadjirOwanEgO(.|#|)
ADĚROWANEGO	(.|#|)QadjirowanEgO(.|#|)
AEROSTATIKA	(.|#|)aErOstatika(.|#|)
AEROSTATIKA	(.|#|)QaErOstatika(.|#|)
AEROZOL	(.|#|)aErOzOl(.|#|)
AEROZOL	(.|#|)QaErOzOl(.|#|)
AFAMI	(.|#|)afami(.|#|)
AFAMI	(.|#|)Qafami(.|#|)
AFEKT	(.|#|)afEkt(.|#|)
AFEKT	(.|#|)QafEkt(.|#|)
AFEKTIWNY	(.|#|)afEktiun1(.|#|)
AFEKTIWNY	(.|#|)QafEktiun1(.|#|)
AFELOMA	(.|#|)afElOma(.|#|)
AFELOMA	(.|#|)QafElOma(.|#|)
AFENJAMI	(.|#|)afEnjami(.|#|)
AFENJAMI	(.|#|)QafEnjami(.|#|)
AFERA	(.|#|)afEra(.|#|)
AFERA	(.|#|)QafEra(.|#|)
AFERACH	(.|#|)afErax(.|#|)
AFERACH	(.|#|)QafErax(.|#|)
AFEŃC	(.|#|)afEjnts(.|#|)
AFEŃC	(.|#|)afejnts(.|#|)
AFEŃC	(.|#|)QafEjnts(.|#|)
AFEŃC	(.|#|)Qafejnts(.|#|)
AFEŃCOMA	(.|#|)afEjntsOma(.|#|)
AFEŃCOMA	(.|#|)afejntsOma(.|#|)
AFEŃCOMA	(.|#|)QafEjntsOma(.|#|)
AFEŃCOMA	(.|#|)QafejntsOma(.|#|)
AFGHANAŔ	(.|#|)afghanar(.|#|)
AFGHANAŔ	(.|#|)Qafghanar(.|#|)
AFGHANIŠĆINA	(.|#|)afghaniStSina(.|#|)
AFGHANIŠĆINA	(.|#|)QafghaniStSina(.|#|)
AFGHANIŠĆNAMI	(.|#|)afghaniStSnami(.|#|)
AFGHANIŠĆNAMI	(.|#|)QafghaniStSnami(.|#|)
AFIKSACIJA	(.|#|)afiksatsija(.|#|)
AFIKSACIJA	(.|#|)Qafiksatsija(.|#|)
AFIRMACIJA	(.|#|)afirmatsija(.|#|)
AFIRMACIJA	(.|#|)Qafirmatsija(.|#|)
AFIRMATIWNY	(.|#|)afirmatiun1(.|#|)
AFIRMATIWNY	(.|#|)Qafirmatiun1(.|#|)
AFJE	(.|#|)afjE(.|#|)
AFJE	(.|#|)QafjE(.|#|)
AFORISTISKI	(.|#|)afOristiski(.|#|)
AFORISTISKI	(.|#|)QafOristiski(.|#|)
AFORIZM	(.|#|)afOrizm(.|#|)
AFORIZM	(.|#|)QafOrizm(.|#|)
AFRIKA	(.|#|)afrika(.|#|)
AFRIKA	(.|#|)Qafrika(.|#|)
AFRIKANARJE	(.|#|)afrikanar(j|)E(.|#|)
AFRIKANARJE	(.|#|)Qafrikanar(j|)E(.|#|)
AFRIKANARKA	(.|#|)afrikanarka(.|#|)
AFRIKANARKA	(.|#|)Qafrikanarka(.|#|)
AFRIKANAŔ	(.|#|)afrikanar(.|#|)
AFRIKANAŔ	(.|#|)Qafrikanar(.|#|)
AFRIKATA	(.|#|)afrikata(.|#|)
AFRIKATA	(.|#|)Qafrikata(.|#|)
AFRISKI	(.|#|)afriski(.|#|)
AFRISKI	(.|#|)Qafriski(.|#|)
AFROAMERIKANARJACH	(.|#|)afrOamErikanarjax(.|#|)
AFROAMERIKANARJACH	(.|#|)QafrOamErikanarjax(.|#|)
AFROAMERIKANARKA	(.|#|)afrOamErikanarka(.|#|)
AFROAMERIKANARKA	(.|#|)QafrOamErikanarka(.|#|)
AFROAMERIKANAŔ	(.|#|)afrOamErikanar(.|#|)
AFROAMERIKANAŔ	(.|#|)QafrOamErikanar(.|#|)
AFROAMERISKI	(.|#|)afrOamEriski(.|#|)
AFROAMERISKI	(.|#|)QafrOamEriski(.|#|)
AFRONT	(.|#|)afrOnt(.|#|)
AFRONT	(.|#|)QafrOnt(.|#|)
AFRONŚE	(.|#|)afrOnSE(.|#|)
AFRONŚE	(.|#|)QafrOnSE(.|#|)
AFU	(.|#|)afu(.|#|)
AFU	(.|#|)Qafu(.|#|)
AFY	(.|#|)af1(.|#|)
AFY	(.|#|)Qaf1(.|#|)
AGENT	(.|#|)agEnt(.|#|)
AGENT	(.|#|)QagEnt(.|#|)
AGENTURA	(.|#|)agEntura(.|#|)
AGENTURA	(.|#|)QagEntura(.|#|)
AGILNYMA	(.|#|)agiln1ma(.|#|)
AGILNYMA	(.|#|)Qagiln1ma(.|#|)
AGIO	(.|#|)agiO(.|#|)
AGIO	(.|#|)QagiO(.|#|)
AGITATOR	(.|#|)agitatOr(.|#|)
AGITATOR	(.|#|)QagitatOr(.|#|)
AGITATORISKI	(.|#|)agitatOriski(.|#|)
AGITATORISKI	(.|#|)QagitatOriski(.|#|)
AGITPROPKUPKA	(.|#|)agitprOpkupka(.|#|)
AGITPROPKUPKA	(.|#|)QagitprOpkupka(.|#|)
AGNOSTICIZM	(.|#|)agnOstitsizm(.|#|)
AGNOSTICIZM	(.|#|)QagnOstitsizm(.|#|)
AGNOSTICIZMJE	(.|#|)agnOstitsizmjE(.|#|)
AGNOSTICIZMJE	(.|#|)QagnOstitsizmjE(.|#|)
AGNOSTIKARKA	(.|#|)agnOstikarka(.|#|)
AGNOSTIKARKA	(.|#|)QagnOstikarka(.|#|)
AGNOSTIKAŔ	(.|#|)agnOstikar(.|#|)
AGNOSTIKAŔ	(.|#|)QagnOstikar(.|#|)
AGONIJA	(.|#|)agOnija(.|#|)
AGONIJA	(.|#|)QagOnija(.|#|)
AGONIJOMA	(.|#|)agOnijOma(.|#|)
AGONIJOMA	(.|#|)QagOnijOma(.|#|)
AGRAFA	(.|#|)agrafa(.|#|)
AGRAFA	(.|#|)Qagrafa(.|#|)
AGRARNA	(.|#|)agrarna(.|#|)
AGRARNA	(.|#|)Qagrarna(.|#|)
AGRARNICA	(.|#|)agrarnitsa(.|#|)
AGRARNICA	(.|#|)Qagrarnitsa(.|#|)
AGRARNICOW	(.|#|)agrarnitsO(.|#|)
AGRARNICOW	(.|#|)agrarnitso(.|#|)
AGRARNICOW	(.|#|)QagrarnitsO(.|#|)
AGRARNICOW	(.|#|)Qagrarnitso(.|#|)
AGRARNIK	(.|#|)agrarnik(.|#|)
AGRARNIK	(.|#|)Qagrarnik(.|#|)
AGRARNY	(.|#|)agrarn1(.|#|)
AGRARNY	(.|#|)Qagrarn1(.|#|)
AGREGAT	(.|#|)agrEgat(.|#|)
AGREGAT	(.|#|)QagrEgat(.|#|)
AGRESIJOWA	(.|#|)agrEsijOwa(.|#|)
AGRESIJOWA	(.|#|)agrEsijowa(.|#|)
AGRESIJOWA	(.|#|)QagrEsijOwa(.|#|)
AGRESIJOWA	(.|#|)QagrEsijowa(.|#|)
AGRESIJOWE	(.|#|)agrEsijOwE(.|#|)
AGRESIJOWE	(.|#|)agrEsijowE(.|#|)
AGRESIJOWE	(.|#|)QagrEsijOwE(.|#|)
AGRESIJOWE	(.|#|)QagrEsijowE(.|#|)
AGRESIJOWY	(.|#|)agrEsijOw1(.|#|)
AGRESIJOWY	(.|#|)agrEsijow1(.|#|)
AGRESIJOWY	(.|#|)QagrEsijOw1(.|#|)
AGRESIJOWY	(.|#|)QagrEsijow1(.|#|)
AGRESISKA	(.|#|)agrEsiska(.|#|)
AGRESISKA	(.|#|)QagrEsiska(.|#|)
AGRESISKI	(.|#|)agrEsiski(.|#|)
AGRESISKI	(.|#|)QagrEsiski(.|#|)
AGRESIWNJE	(.|#|)agrEsiun(j|)E(.|#|)
AGRESIWNJE	(.|#|)QagrEsiun(j|)E(.|#|)
AGRESIWNOSĆ	(.|#|)agrEsiunOstS(.|#|)
AGRESIWNOSĆ	(.|#|)agrEsiunOStS(.|#|)
AGRESIWNOSĆ	(.|#|)QagrEsiunOstS(.|#|)
AGRESIWNOSĆ	(.|#|)QagrEsiunOStS(.|#|)
AGRESIWNY	(.|#|)agrEsiun1(.|#|)
AGRESIWNY	(.|#|)QagrEsiun1(.|#|)
AGROCHEMIJA	(.|#|)agrOxEmija(.|#|)
AGROCHEMIJA	(.|#|)QagrOxEmija(.|#|)
AGRONOM	(.|#|)agrOnOm(.|#|)
AGRONOM	(.|#|)QagrOnOm(.|#|)
AGRONOMIJA	(.|#|)agrOnOmija(.|#|)
AGRONOMIJA	(.|#|)QagrOnOmija(.|#|)
AGRONOMISKI	(.|#|)agrOnOmiski(.|#|)
AGRONOMISKI	(.|#|)QagrOnOmiski(.|#|)
AGRONOMKA	(.|#|)agrOnOmka(.|#|)
AGRONOMKA	(.|#|)QagrOnOmka(.|#|)
AGROTECHNIKA	(.|#|)agrOtExnika(.|#|)
AGROTECHNIKA	(.|#|)agrOtECnika(.|#|)
AGROTECHNIKA	(.|#|)QagrOtExnika(.|#|)
AGROTECHNIKA	(.|#|)QagrOtECnika(.|#|)
AGĚRUJUCY	(.|#|)agjirujuts1(.|#|)
AGĚRUJUCY	(.|#|)Qagjirujuts1(.|#|)
AHA	(.|#|)aha(.|#|)
AHA	(.|#|)Qaha(.|#|)
AHANAZGÓNJENJE	(.|#|)ahanazgUn(j|)En(j|)E(.|#|)
AHANAZGÓNJENJE	(.|#|)QahanazgUn(j|)En(j|)E(.|#|)
AHISTORISKI	(.|#|)ahistOriski(.|#|)
AHISTORISKI	(.|#|)QahistOriski(.|#|)
AHOJ	(.|#|)ahOj(.|#|)
AHOJ	(.|#|)QahOj(.|#|)
AIDAFORMULA	(.|#|)aidafOrmula(.|#|)
AIDAFORMULA	(.|#|)QaidafOrmula(.|#|)
AIDS	(.|#|)aits(.|#|)
AIDS	(.|#|)Qaits(.|#|)
AIDSAKTIWIST	(.|#|)aitsaktiwist(.|#|)
AIDSAKTIWIST	(.|#|)Qaitsaktiwist(.|#|)
AIDSCHÓRY	(.|#|)aitsxUr1(.|#|)
AIDSCHÓRY	(.|#|)QaitsxUr1(.|#|)
AIDSPOZITIWNY	(.|#|)aitspOzitiun1(.|#|)
AIDSPOZITIWNY	(.|#|)QaitspOzitiun1(.|#|)
AIDSU	(.|#|)aitsu(.|#|)
AIDSU	(.|#|)Qaitsu(.|#|)
AIRBAG	(.|#|)airbag(.|#|)
AIRBAG	(.|#|)Qairbag(.|#|)
AIRBAGAM	(.|#|)airbagam(.|#|)
AIRBAGAM	(.|#|)Qairbagam(.|#|)
AIRBUS	(.|#|)airbus(.|#|)
AIRBUS	(.|#|)Qairbus(.|#|)
AIRLINE	(.|#|)airlinE(.|#|)
AIRLINE	(.|#|)QairlinE(.|#|)
AJ	(.|#|)aj(.|#|)
AJ	(.|#|)Qaj(.|#|)
AJCHOWAŚ	(.|#|)ajxOwaS(.|#|)
AJCHOWAŚ	(.|#|)ajxowaS(.|#|)
AJCHOWAŚ	(.|#|)QajxOwaS(.|#|)
AJCHOWAŚ	(.|#|)QajxowaS(.|#|)
AJDERKACKA	(.|#|)ajdErkatska(.|#|)
AJDERKACKA	(.|#|)QajdErkatska(.|#|)
AJDERKACKOWU	(.|#|)ajdErkatskOwu(.|#|)
AJDERKACKOWU	(.|#|)ajdErkatskowu(.|#|)
AJDERKACKOWU	(.|#|)QajdErkatskOwu(.|#|)
AJDERKACKOWU	(.|#|)QajdErkatskowu(.|#|)
AK	(.|#|)ak(.|#|)
AK	(.|#|)Qak(.|#|)
AKADEMIJOWY	(.|#|)akadEmijOw1(.|#|)
AKADEMIJOWY	(.|#|)akadEmijow1(.|#|)
AKADEMIJOWY	(.|#|)QakadEmijOw1(.|#|)
AKADEMIJOWY	(.|#|)QakadEmijow1(.|#|)
AKADEMIKARKA	(.|#|)akadEmikarka(.|#|)
AKADEMIKARKA	(.|#|)QakadEmikarka(.|#|)
AKADEMISKI	(.|#|)akadEmiski(.|#|)
AKADEMISKI	(.|#|)QakadEmiski(.|#|)
AKCENT	(.|#|)aktsEnt(.|#|)
AKCENT	(.|#|)QaktsEnt(.|#|)
AKCENTOWE	(.|#|)aktsEntOwE(.|#|)
AKCENTOWE	(.|#|)aktsEntowE(.|#|)
AKCENTOWE	(.|#|)QaktsEntOwE(.|#|)
AKCENTOWE	(.|#|)QaktsEntowE(.|#|)
AKCENTUĚROWANJE	(.|#|)aktsEntujirOwan(j|)E(.|#|)
AKCENTUĚROWANJE	(.|#|)aktsEntujirowan(j|)E(.|#|)
AKCENTUĚROWANJE	(.|#|)QaktsEntujirOwan(j|)E(.|#|)
AKCENTUĚROWANJE	(.|#|)QaktsEntujirowan(j|)E(.|#|)
AKCENTUĚROWAŚ	(.|#|)aktsEntujirOwaS(.|#|)
AKCENTUĚROWAŚ	(.|#|)aktsEntujirowaS(.|#|)
AKCENTUĚROWAŚ	(.|#|)QaktsEntujirOwaS(.|#|)
AKCENTUĚROWAŚ	(.|#|)QaktsEntujirowaS(.|#|)
AKCEPTA	(.|#|)aktsEpta(.|#|)
AKCEPTA	(.|#|)QaktsEpta(.|#|)
AKCEPTABELNY	(.|#|)aktsEptabEln1(.|#|)
AKCEPTABELNY	(.|#|)QaktsEptabEln1(.|#|)
AKCEPTANCA	(.|#|)aktsEptantsa(.|#|)
AKCEPTANCA	(.|#|)QaktsEptantsa(.|#|)
AKCEPŚE	(.|#|)aktsEpSE(.|#|)
AKCEPŚE	(.|#|)QaktsEpSE(.|#|)
AKCIJNY	(.|#|)aktsijn1(.|#|)
AKCIJNY	(.|#|)Qaktsijn1(.|#|)
AKCIJOWY	(.|#|)aktsijOw1(.|#|)
AKCIJOWY	(.|#|)aktsijow1(.|#|)
AKCIJOWY	(.|#|)QaktsijOw1(.|#|)
AKCIJOWY	(.|#|)Qaktsijow1(.|#|)
AKCIONARKA	(.|#|)aktsiOnarka(.|#|)
AKCIONARKA	(.|#|)QaktsiOnarka(.|#|)
AKCISKA	(.|#|)aktsiska(.|#|)
AKCISKA	(.|#|)Qaktsiska(.|#|)
AKCISKI	(.|#|)aktsiski(.|#|)
AKCISKI	(.|#|)Qaktsiski(.|#|)
AKCIZAMI	(.|#|)aktsizami(.|#|)
AKCIZAMI	(.|#|)Qaktsizami(.|#|)
AKCIZOWEGO	(.|#|)aktsizOwEgO(.|#|)
AKCIZOWEGO	(.|#|)aktsizowEgO(.|#|)
AKCIZOWEGO	(.|#|)QaktsizOwEgO(.|#|)
AKCIZOWEGO	(.|#|)QaktsizowEgO(.|#|)
AKCIZY	(.|#|)aktsiz1(.|#|)
AKCIZY	(.|#|)Qaktsiz1(.|#|)
AKELAJAMI	(.|#|)akElajami(.|#|)
AKELAJAMI	(.|#|)QakElajami(.|#|)
AKKWIRĚRUJUCEMU	(.|#|)akwirjirujutsEmu(.|#|)
AKKWIRĚRUJUCEMU	(.|#|)QakwirjirujutsEmu(.|#|)
AKKWIZITER	(.|#|)akwizitEr(.|#|)
AKKWIZITER	(.|#|)QakwizitEr(.|#|)
AKKWIZITERKA	(.|#|)akwizitErka(.|#|)
AKKWIZITERKA	(.|#|)QakwizitErka(.|#|)
AKLIMATIZACIJA	(.|#|)aklimatizatsija(.|#|)
AKLIMATIZACIJA	(.|#|)Qaklimatizatsija(.|#|)
AKLIMATIZĚROWANJE	(.|#|)aklimatizjirOwan(j|)E(.|#|)
AKLIMATIZĚROWANJE	(.|#|)aklimatizjirowan(j|)E(.|#|)
AKLIMATIZĚROWANJE	(.|#|)QaklimatizjirOwan(j|)E(.|#|)
AKLIMATIZĚROWANJE	(.|#|)Qaklimatizjirowan(j|)E(.|#|)
AKNEPUSTLI	(.|#|)aknEpustli(.|#|)
AKNEPUSTLI	(.|#|)QaknEpustli(.|#|)
AKO	(.|#|)akO(.|#|)
AKO	(.|#|)QakO(.|#|)
AKONTOPŁAŚENJE	(.|#|)akOntOpwaSEn(j|)E(.|#|)
AKONTOPŁAŚENJE	(.|#|)QakOntOpwaSEn(j|)E(.|#|)
AKONTOPŁAŚENJOW	(.|#|)akOntOpwaSEnjO(.|#|)
AKONTOPŁAŚENJOW	(.|#|)akOntOpwaSEnjo(.|#|)
AKONTOPŁAŚENJOW	(.|#|)QakOntOpwaSEnjO(.|#|)
AKONTOPŁAŚENJOW	(.|#|)QakOntOpwaSEnjo(.|#|)
AKORD	(.|#|)akOrt(.|#|)
AKORD	(.|#|)QakOrt(.|#|)
AKORDEON	(.|#|)akOrdEOn(.|#|)
AKORDEON	(.|#|)QakOrdEOn(.|#|)
AKORDEONIST	(.|#|)akOrdEOnist(.|#|)
AKORDEONIST	(.|#|)QakOrdEOnist(.|#|)
AKORDEONISTKA	(.|#|)akOrdEOnistka(.|#|)
AKORDEONISTKA	(.|#|)QakOrdEOnistka(.|#|)
AKORDEONOWEMU	(.|#|)akOrdEOnOwEmu(.|#|)
AKORDEONOWEMU	(.|#|)akOrdEOnowEmu(.|#|)
AKORDEONOWEMU	(.|#|)QakOrdEOnOwEmu(.|#|)
AKORDEONOWEMU	(.|#|)QakOrdEOnowEmu(.|#|)
AKORDOWE	(.|#|)akOrdOwE(.|#|)
AKORDOWE	(.|#|)akOrdowE(.|#|)
AKORDOWE	(.|#|)QakOrdOwE(.|#|)
AKORDOWE	(.|#|)QakOrdowE(.|#|)
AKPSTATY	(.|#|)akpstat1(.|#|)
AKPSTATY	(.|#|)Qakpstat1(.|#|)
AKREDITIW	(.|#|)akrEditiw(.|#|)
AKREDITIW	(.|#|)QakrEditiw(.|#|)
AKREDITĚROWANJEJU	(.|#|)akrEditjirOwan(j|)eju(.|#|)
AKREDITĚROWANJEJU	(.|#|)akrEditjirowan(j|)eju(.|#|)
AKREDITĚROWANJEJU	(.|#|)QakrEditjirOwan(j|)eju(.|#|)
AKREDITĚROWANJEJU	(.|#|)QakrEditjirowan(j|)eju(.|#|)
AKROBAT	(.|#|)akrObat(.|#|)
AKROBAT	(.|#|)QakrObat(.|#|)
AKROBATACH	(.|#|)akrObatax(.|#|)
AKROBATACH	(.|#|)QakrObatax(.|#|)
AKROBATIKA	(.|#|)akrObatika(.|#|)
AKROBATIKA	(.|#|)QakrObatika(.|#|)
AKROBATISKA	(.|#|)akrObatiska(.|#|)
AKROBATISKA	(.|#|)QakrObatiska(.|#|)
AKROBATISKI	(.|#|)akrObatiski(.|#|)
AKROBATISKI	(.|#|)QakrObatiski(.|#|)
AKROBATKA	(.|#|)akrObatka(.|#|)
AKROBATKA	(.|#|)QakrObatka(.|#|)
AKROPOLIS	(.|#|)akrOpOlis(.|#|)
AKROPOLIS	(.|#|)QakrOpOlis(.|#|)
AKSIALNEM	(.|#|)aksialnEm(.|#|)
AKSIALNEM	(.|#|)QaksialnEm(.|#|)
AKSIOMATISKI	(.|#|)aksiOmatiski(.|#|)
AKSIOMATISKI	(.|#|)QaksiOmatiski(.|#|)
AKT	(.|#|)akt(.|#|)
AKT	(.|#|)Qakt(.|#|)
AKTA	(.|#|)akta(.|#|)
AKTA	(.|#|)Qakta(.|#|)
